#    energy (eV)  cross sec. (b)
1.141678e+02    4.092526e+01
1.141814e+02    4.309310e+01
1.141950e+02    4.548011e+01
1.142086e+02    4.811180e+01
1.142222e+02    5.101642e+01
1.142358e+02    5.422501e+01
1.142494e+02    5.777163e+01
1.142630e+02    6.169337e+01
1.142766e+02    6.603061e+01
1.142902e+02    7.082681e+01
1.143038e+02    7.612880e+01
1.143174e+02    8.198639e+01
1.143310e+02    8.845257e+01
1.143446e+02    9.558292e+01
1.143582e+02    1.034357e+02
1.143717e+02    1.120710e+02
1.143817e+02    1.189367e+02
1.143917e+02    1.262810e+02
1.144066e+02    1.382496e+02
1.144216e+02    1.514342e+02
1.144365e+02    1.659162e+02
1.144515e+02    1.817735e+02
1.144645e+02    1.967931e+02
1.144776e+02    2.129585e+02
1.144907e+02    2.303075e+02
1.145037e+02    2.488710e+02
1.145167e+02    2.686721e+02
1.145284e+02    2.873233e+02
1.145428e+02    3.120313e+02
1.145574e+02    3.382773e+02
1.145718e+02    3.660310e+02
1.145936e+02    4.103696e+02
1.146154e+02    4.577079e+02
1.146371e+02    5.076506e+02
1.146734e+02    5.952000e+02
1.147321e+02    7.407181e+02
1.147589e+02    8.046389e+02
1.147879e+02    8.689193e+02
1.148097e+02    9.124164e+02
1.148314e+02    9.507825e+02
1.148532e+02    9.831245e+02
1.148764e+02    1.010115e+03
1.148923e+02    1.023789e+03
1.149155e+02    1.036172e+03
1.149351e+02    1.039459e+03
1.149542e+02    1.036300e+03
1.149691e+02    1.029493e+03
1.149865e+02    1.016894e+03
1.150040e+02    9.994776e+02
1.150257e+02    9.713808e+02
1.150475e+02    9.369249e+02
1.150692e+02    8.969513e+02
1.150910e+02    8.523980e+02
1.151200e+02    7.875978e+02
1.151707e+02    6.660839e+02
1.152142e+02    5.613987e+02
1.152432e+02    4.946606e+02
1.152650e+02    4.472308e+02
1.152867e+02    4.025410e+02
1.153084e+02    3.609008e+02
1.153230e+02    3.349354e+02
1.153374e+02    3.104453e+02
1.153520e+02    2.874430e+02
1.153660e+02    2.666392e+02
1.153800e+02    2.472008e+02
1.153940e+02    2.290992e+02
1.154080e+02    2.122953e+02
1.154220e+02    1.967427e+02
1.154384e+02    1.799985e+02
1.154502e+02    1.689693e+02
1.154620e+02    1.587028e+02
1.154737e+02    1.491614e+02
1.154855e+02    1.403062e+02
1.154973e+02    1.320986e+02
1.155091e+02    1.244998e+02
1.155209e+02    1.174718e+02
1.155345e+02    1.100232e+02
1.155481e+02    1.032294e+02
1.155617e+02    9.703715e+01
1.155752e+02    9.139584e+01
1.155888e+02    8.625752e+01
1.156024e+02    8.157730e+01
1.156160e+02    7.731317e+01
1.156296e+02    7.342627e+01
1.156478e+02    6.876878e+01
1.156659e+02    6.464113e+01
1.156840e+02    6.097493e+01
1.157021e+02    5.770992e+01
1.157202e+02    5.479340e+01
1.157384e+02    5.217948e+01
1.157565e+02    4.982841e+01
1.157746e+02    4.770587e+01
1.158018e+02    4.488716e+01
1.158232e+02    4.292913e+01
1.158479e+02    4.091014e+01
1.158726e+02    3.910812e+01
1.158973e+02    3.748971e+01
1.159343e+02    3.534849e+01
1.159713e+02    3.348917e+01
1.160083e+02    3.185852e+01
1.160469e+02    3.035942e+01
1.160855e+02    2.902984e+01
1.161112e+02    2.822394e+01
1.161626e+02    2.677617e+01
1.162141e+02    2.551295e+01
1.162686e+02    2.433919e+01
1.163232e+02    2.330672e+01
1.163777e+02    2.239228e+01
1.164322e+02    2.157742e+01
1.164995e+02    2.068805e+01
1.165667e+02    1.990555e+01
1.166339e+02    1.921248e+01
1.167384e+02    1.828105e+01
1.168502e+02    1.744227e+01
1.169620e+02    1.673161e+01
1.170902e+02    1.604072e+01
1.172266e+02    1.542036e+01
1.173630e+02    1.489331e+01
1.175233e+02    1.436797e+01
1.176836e+02    1.392279e+01
1.179079e+02    1.340355e+01
1.181428e+02    1.295856e+01
1.184119e+02    1.254102e+01
1.187153e+02    1.215781e+01
1.190364e+02    1.182666e+01
1.193753e+02    1.153863e+01
1.197406e+02    1.128062e+01
